epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.68601,0.78197,1.63162,2.61439,1.42254,0.48252,0.33333,0.18729,0.10156,0.18148,0.33333,0.10354,0.10159,0.58909,0.98314,3.48689,1.38024,0,0,0
2,19.5514,0.73052,1.66022,2.74018,1.26805,0.3229,0.33333,0.45062,0.44672,0.3229,0.33333,0.45062,0.44725,0.33931,0.62716,2.31918,1.11156,1.97525e-05,1.97525e-05,1.97525e-05
3,29.5395,0.53021,1.00337,1.85204,1.12686,0.96544,0.66667,0.863,0.863,0.96544,0.66667,0.863,0.863,0.21236,0.42494,1.06503,0.92905,3.901e-05,3.901e-05,3.901e-05
4,39.4688,0.29375,0.59012,1.03255,0.95302,0.96315,1,0.995,0.995,0.96315,1,0.995,0.995,0.18371,0.36766,1.38668,0.86606,5.77725e-05,5.77725e-05,5.77725e-05
5,49.4534,0.37097,0.54475,0.97733,0.98889,0.79855,1,0.995,0.995,0.79855,1,0.995,0.995,0.25999,0.33888,1.34103,0.85893,7.604e-05,7.604e-05,7.604e-05
6,59.4104,0.3771,0.51993,0.81465,0.94895,0.94015,1,0.995,0.995,0.94015,1,0.995,0.995,0.25213,0.32835,0.7369,0.87176,9.38125e-05,9.38125e-05,9.38125e-05
7,69.2301,0.41828,0.48722,1.15767,0.9694,0.74822,1,0.995,0.96204,0.74822,1,0.995,0.995,0.26889,0.32685,1.01714,0.87399,0.00011109,0.00011109,0.00011109
8,79.4302,0.34491,0.31044,0.65679,0.97526,1,1,0.995,0.93987,1,1,0.995,0.995,0.33253,0.36916,1.43595,0.92027,0.000127872,0.000127872,0.000127872
9,89.6806,0.37539,0.4294,0.69881,0.9491,1,0.66667,0.995,0.92904,1,0.66667,0.995,0.995,0.4208,0.40507,1.88472,1.04867,0.00014416,0.00014416,0.00014416
10,99.9815,0.38865,0.42161,0.54448,0.9536,0.74052,1,0.995,0.8955,0.74052,1,0.995,0.995,0.44108,0.40689,1.64407,0.97772,0.000159952,0.000159952,0.000159952
