epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,342.198,0.4813,0.51142,0.67219,0.96887,1,0.66667,0.995,0.93987,1,0.66667,0.995,0.91229,0.31575,1.06055,2.61332,0.90001,0.000437248,0.000437248,0.000437248
34,352.483,0.37878,0.31138,0.60241,0.91053,1,0.66667,0.995,0.93987,1,0.66667,0.995,0.91229,0.31575,1.06055,2.61332,0.90001,0.000444378,0.000444378,0.000444378
35,362.919,0.43573,0.36733,0.64234,0.9625,1,0.66667,0.995,0.91229,1,0.66667,0.995,0.89611,0.43344,2.03503,2.38569,0.98772,0.000451112,0.000451112,0.000451112
36,373.296,0.44598,0.53127,0.67831,0.96139,1,0.66667,0.995,0.91229,1,0.66667,0.995,0.89611,0.43344,2.03503,2.38569,0.98772,0.00045745,0.00045745,0.00045745
37,383.86,0.50771,0.56062,0.67448,1.0413,1,0.66667,0.995,0.77195,1,0.66667,0.995,0.87954,0.63963,1.44623,7.84418,1.30865,0.000463392,0.000463392,0.000463392
38,394.313,0.53295,0.55922,0.64328,1.07454,1,0.66667,0.995,0.77195,1,0.66667,0.995,0.87954,0.63963,1.44623,7.84418,1.30865,0.000468938,0.000468938,0.000468938
39,405.049,0.49805,0.48099,0.63611,1.05487,1,1,0.995,0.5809,1,1,0.995,0.60606,0.95567,5.01544,17.4477,2.01435,0.000474088,0.000474088,0.000474088
40,415.442,0.39422,0.41004,0.4932,0.90687,1,1,0.995,0.5809,1,1,0.995,0.60606,0.95567,5.01544,17.4477,2.01435,0.000478842,0.000478842,0.000478842
41,425.977,0.49139,0.6693,0.68135,0.99172,1,1,0.995,0.75207,1,1,0.995,0.70877,0.71466,4.21458,20.0269,1.50335,0.0004832,0.0004832,0.0004832
42,436.613,0.47956,0.55682,0.6435,1.02912,1,1,0.995,0.75207,1,1,0.995,0.70877,0.71466,4.21458,20.0269,1.50335,0.000487162,0.000487162,0.000487162
43,447.136,0.41473,0.32152,0.52158,0.95005,1,1,0.995,0.71891,1,1,0.995,0.73011,0.79076,6.43175,19.5768,1.54009,0.000490728,0.000490728,0.000490728
44,456.745,0.52682,0.93464,0.56471,1.04323,1,1,0.995,0.71891,1,1,0.995,0.73011,0.79076,6.43175,19.5768,1.54009,0.000493898,0.000493898,0.000493898
45,467.053,0.46723,0.43277,0.59689,1.01315,1,1,0.995,0.75207,1,1,0.995,0.81841,0.75194,5.90221,12.2348,1.45023,0.000496672,0.000496672,0.000496672
46,477.641,0.38411,0.42677,0.47049,0.93748,1,1,0.995,0.75207,1,1,0.995,0.81841,0.75194,5.90221,12.2348,1.45023,0.00049905,0.00049905,0.00049905
47,488.141,0.35675,0.42935,0.48731,0.96825,1,0.66667,0.995,0.8955,1,0.66667,0.995,0.89607,0.46236,7.08553,9.41927,0.92475,0.000501032,0.000501032,0.000501032
48,498.62,0.38551,0.39189,0.5818,0.93469,1,0.66667,0.995,0.8955,1,0.66667,0.995,0.89607,0.46236,7.08553,9.41927,0.92475,0.000502618,0.000502618,0.000502618
49,509.238,0.45423,0.6343,0.60073,0.97401,0.72323,1,0.995,0.93987,0.72323,1,0.995,0.84636,0.46264,10.6083,6.10839,0.93304,0.000503808,0.000503808,0.000503808
50,519.787,0.45202,0.38569,0.57576,0.95532,0.72323,1,0.995,0.93987,0.72323,1,0.995,0.84636,0.46264,10.6083,6.10839,0.93304,0.000504602,0.000504602,0.000504602
51,530.261,0.40833,0.34975,0.46944,0.91632,0.93928,1,0.995,0.95104,0.93928,1,0.995,0.76419,0.41234,13.5257,2.8066,0.94417,0.000505,0.000505,0.000505
52,540.613,0.35456,0.30283,0.49732,0.97854,0.93928,1,0.995,0.95104,0.93928,1,0.995,0.76419,0.41234,13.5257,2.8066,0.94417,0.000505002,0.000505002,0.000505002
53,551.063,0.38044,0.35475,0.47861,0.93215,0.93928,1,0.995,0.95104,0.93928,1,0.995,0.76419,0.41234,13.5257,2.8066,0.94417,0.000504608,0.000504608,0.000504608
54,561.427,0.44909,0.41088,0.64482,0.9484,0.74897,1,0.995,0.96204,0.74897,1,0.995,0.64322,0.38418,19.105,1.81588,0.93354,0.000503818,0.000503818,0.000503818
55,571.762,0.4614,0.48948,0.64636,0.99239,0.74897,1,0.995,0.96204,0.74897,1,0.995,0.64322,0.38418,19.105,1.81588,0.93354,0.000502632,0.000502632,0.000502632
56,582.166,0.37869,0.30493,0.4923,0.94035,0.74897,1,0.995,0.96204,0.74897,1,0.995,0.64322,0.38418,19.105,1.81588,0.93354,0.00050105,0.00050105,0.00050105
57,592.57,0.48575,0.39417,0.54389,1.0205,0.49347,1,0.995,0.92904,0.49347,1,0.995,0.70933,0.34823,11.7047,2.73406,0.90227,0.000499072,0.000499072,0.000499072
58,602.855,0.41269,0.41895,0.63414,0.97589,0.49347,1,0.995,0.92904,0.49347,1,0.995,0.70933,0.34823,11.7047,2.73406,0.90227,0.000496698,0.000496698,0.000496698
59,613.424,0.34637,0.35669,0.55544,0.92395,0.49347,1,0.995,0.92904,0.49347,1,0.995,0.70933,0.34823,11.7047,2.73406,0.90227,0.000493928,0.000493928,0.000493928
60,623.806,0.42531,0.35516,0.56448,0.96624,0.79761,1,0.995,0.92904,0.79761,1,0.995,0.80099,0.42,4.06248,3.26111,0.95805,0.000490762,0.000490762,0.000490762
61,634.184,0.3704,0.37626,0.50868,0.93538,0.79761,1,0.995,0.92904,0.79761,1,0.995,0.80099,0.42,4.06248,3.26111,0.95805,0.0004872,0.0004872,0.0004872
62,644.525,0.46219,0.50437,0.60848,1.01286,0.79761,1,0.995,0.92904,0.79761,1,0.995,0.80099,0.42,4.06248,3.26111,0.95805,0.000483242,0.000483242,0.000483242
63,654.957,0.57901,0.72308,0.80518,1.14916,0.86435,1,0.995,0.8955,0.86435,1,0.995,0.92905,0.40779,1.18702,3.10909,0.96902,0.000478888,0.000478888,0.000478888
64,665.154,0.36504,0.29614,0.58707,0.94605,0.86435,1,0.995,0.8955,0.86435,1,0.995,0.92905,0.40779,1.18702,3.10909,0.96902,0.000474138,0.000474138,0.000474138
65,675.581,0.36531,0.32554,0.49165,0.94829,0.86435,1,0.995,0.8955,0.86435,1,0.995,0.92905,0.40779,1.18702,3.10909,0.96902,0.000468992,0.000468992,0.000468992
66,685.834,0.4452,0.46373,0.63198,0.98287,0.97456,1,0.995,0.89615,0.97456,1,0.995,0.93483,0.40895,0.89385,2.76702,1.02967,0.00046345,0.00046345,0.00046345
67,696.02,0.33184,0.31585,0.49642,0.95698,0.97456,1,0.995,0.89615,0.97456,1,0.995,0.93483,0.40895,0.89385,2.76702,1.02967,0.000457512,0.000457512,0.000457512
68,706.51,0.39109,0.475,0.63691,1.04686,0.97456,1,0.995,0.89615,0.97456,1,0.995,0.93483,0.40895,0.89385,2.76702,1.02967,0.000451178,0.000451178,0.000451178
69,717.001,0.37974,0.40194,0.48171,0.90866,0.9817,1,0.995,0.96207,0.9817,1,0.995,0.995,0.42122,0.75662,2.51299,1.18624,0.000444448,0.000444448,0.000444448
70,727.353,0.31531,0.30804,0.49673,0.94013,0.9817,1,0.995,0.96207,0.9817,1,0.995,0.995,0.42122,0.75662,2.51299,1.18624,0.000437322,0.000437322,0.000437322
71,737.668,0.37468,0.49489,0.54546,0.90665,0.9817,1,0.995,0.96207,0.9817,1,0.995,0.995,0.42122,0.75662,2.51299,1.18624,0.0004298,0.0004298,0.0004298
72,748.132,0.38359,0.54214,0.53763,0.9593,0.97156,1,0.995,0.92908,0.97156,1,0.995,0.995,0.33595,0.67006,1.50243,0.94841,0.000421882,0.000421882,0.000421882
73,758.509,0.38976,0.2897,0.46179,0.98899,0.97156,1,0.995,0.92908,0.97156,1,0.995,0.995,0.33595,0.67006,1.50243,0.94841,0.000413568,0.000413568,0.000413568
74,768.831,0.27636,0.35948,0.46802,0.92012,0.97156,1,0.995,0.92908,0.97156,1,0.995,0.995,0.33595,0.67006,1.50243,0.94841,0.000404858,0.000404858,0.000404858
75,779.428,0.34265,0.36139,0.48164,0.90607,0.90676,1,0.995,0.79667,0.90676,1,0.995,0.95108,0.41071,0.77216,2.34962,0.95189,0.000395752,0.000395752,0.000395752
76,789.671,0.42494,0.45627,0.52062,0.95592,0.90676,1,0.995,0.79667,0.90676,1,0.995,0.95108,0.41071,0.77216,2.34962,0.95189,0.00038625,0.00038625,0.00038625
77,800.002,0.36999,0.32276,0.47621,0.94357,0.90676,1,0.995,0.79667,0.90676,1,0.995,0.95108,0.41071,0.77216,2.34962,0.95189,0.000376352,0.000376352,0.000376352
78,810.427,0.42344,0.43405,0.50445,0.93406,0.89934,1,0.995,0.95109,0.89934,1,0.995,0.995,0.27941,0.40458,1.39222,0.91152,0.000366058,0.000366058,0.000366058
79,820.743,0.33282,0.28848,0.39424,0.94883,0.89934,1,0.995,0.95109,0.89934,1,0.995,0.995,0.27941,0.40458,1.39222,0.91152,0.000355368,0.000355368,0.000355368
80,831.131,0.32338,0.28539,0.39346,0.962,0.89934,1,0.995,0.95109,0.89934,1,0.995,0.995,0.27941,0.40458,1.39222,0.91152,0.000344282,0.000344282,0.000344282
81,841.622,0.31902,0.27301,0.40616,0.92125,0.92371,1,0.995,0.93993,0.92371,1,0.995,0.995,0.36861,0.37135,1.49017,0.96024,0.0003328,0.0003328,0.0003328
82,852.207,0.33695,0.39223,0.39212,0.93006,0.92371,1,0.995,0.93993,0.92371,1,0.995,0.995,0.36861,0.37135,1.49017,0.96024,0.000320922,0.000320922,0.000320922
83,862.611,0.28568,0.25481,0.36185,0.87353,0.92371,1,0.995,0.93993,0.92371,1,0.995,0.995,0.36861,0.37135,1.49017,0.96024,0.000308648,0.000308648,0.000308648
84,873.138,0.26605,0.27229,0.44978,0.93282,0.96431,1,0.995,0.96211,0.96431,1,0.995,0.995,0.31007,0.38509,0.98723,0.90457,0.000295978,0.000295978,0.000295978
85,883.507,0.34173,0.33981,0.38578,0.92596,0.96431,1,0.995,0.96211,0.96431,1,0.995,0.995,0.31007,0.38509,0.98723,0.90457,0.000282912,0.000282912,0.000282912
86,893.733,0.33673,0.35187,0.40601,0.93695,0.96431,1,0.995,0.96211,0.96431,1,0.995,0.995,0.31007,0.38509,0.98723,0.90457,0.00026945,0.00026945,0.00026945
87,904.083,0.38915,0.34983,0.3861,0.93043,0.96431,1,0.995,0.96211,0.96431,1,0.995,0.995,0.31007,0.38509,0.98723,0.90457,0.000255592,0.000255592,0.000255592
88,914.629,0.31996,0.39022,0.40852,0.92947,0.98423,1,0.995,0.995,0.98423,1,0.995,0.995,0.22263,0.34721,0.52247,0.83708,0.000241338,0.000241338,0.000241338
89,925.135,0.28916,0.19158,0.38517,0.96894,0.98423,1,0.995,0.995,0.98423,1,0.995,0.995,0.22263,0.34721,0.52247,0.83708,0.000226688,0.000226688,0.000226688
90,935.649,0.3163,0.30403,0.39484,0.91186,0.98423,1,0.995,0.995,0.98423,1,0.995,0.995,0.22263,0.34721,0.52247,0.83708,0.000211642,0.000211642,0.000211642
91,946.175,0.30578,0.22243,0.50246,0.93267,0.98423,1,0.995,0.995,0.98423,1,0.995,0.995,0.22263,0.34721,0.52247,0.83708,0.0001962,0.0001962,0.0001962
92,956.633,0.28767,0.2413,0.49097,1.04263,0.98271,1,0.995,0.995,0.98271,1,0.995,0.995,0.17816,0.31693,0.36205,0.82712,0.000180362,0.000180362,0.000180362
93,967.285,0.19296,0.23288,0.30438,0.83826,0.98271,1,0.995,0.995,0.98271,1,0.995,0.995,0.17816,0.31693,0.36205,0.82712,0.000164128,0.000164128,0.000164128
94,977.669,0.18907,0.23798,0.38086,0.85342,0.98271,1,0.995,0.995,0.98271,1,0.995,0.995,0.17816,0.31693,0.36205,0.82712,0.000147498,0.000147498,0.000147498
95,988.04,0.19602,0.20636,0.47226,0.80666,0.98271,1,0.995,0.995,0.98271,1,0.995,0.995,0.17816,0.31693,0.36205,0.82712,0.000130472,0.000130472,0.000130472
96,998.484,0.22552,0.21177,0.35492,0.90224,0.98313,1,0.995,0.995,0.98313,1,0.995,0.995,0.19241,0.30667,0.2963,0.82929,0.00011305,0.00011305,0.00011305
97,1008.86,0.20703,0.26867,0.39172,0.81281,0.98313,1,0.995,0.995,0.98313,1,0.995,0.995,0.19241,0.30667,0.2963,0.82929,9.5232e-05,9.5232e-05,9.5232e-05
98,1019.21,0.18512,0.19978,0.28085,0.79116,0.98313,1,0.995,0.995,0.98313,1,0.995,0.995,0.19241,0.30667,0.2963,0.82929,7.7018e-05,7.7018e-05,7.7018e-05
99,1029.69,0.195,0.21134,0.34279,0.80756,0.98313,1,0.995,0.995,0.98313,1,0.995,0.995,0.19241,0.30667,0.2963,0.82929,5.8408e-05,5.8408e-05,5.8408e-05
100,1040.12,0.26612,0.24098,0.41218,0.9861,0.98362,1,0.995,0.995,0.98362,1,0.995,0.995,0.1859,0.30258,0.26127,0.82704,3.9402e-05,3.9402e-05,3.9402e-05
